dotId,x,y,r
83,196.64421,89.09879,0.72685754
84,8.250207,-24.264093,0.7490884
85,15.220408,-20.364342,0.74883723
86,22.190384,-16.464521,0.7485164
87,29.160046,-12.564638,0.74815416
88,36.12945,-8.664767,0.74774224
89,43.098812,-4.7648745,0.74728894
90,50.067883,-0.8649495,0.7467907
91,57.036346,3.0349934,0.7462238
92,64.004715,6.934994,0.74562687
93,70.972946,10.835012,0.74496776
94,77.94065,14.734966,0.7442605
95,84.90834,18.63504,0.7435106
96,91.87563,22.5351,0.7427019
97,98.842865,26.435186,0.7418455
98,105.809715,30.335302,0.7409456
99,112.77731,34.23574,0.7400071
100,119.74532,38.136436,0.739019
101,126.7135,42.037354,0.73797554
102,133.68333,45.939,0.7369146
103,140.65431,49.84123,0.73578984
104,147.62666,53.744205,0.73463315
105,154.6014,57.648277,0.73344487
106,161.57855,61.553555,0.7322099
107,168.55875,65.460304,0.73094976
108,175.5424,69.36874,0.7296513
109,182.53096,73.27948,0.72833526
110,189.5246,77.19269,0.7269838
111,196.52496,81.10908,0.72562647
112,8.140572,-32.244648,0.7494591
113,15.110975,-28.344732,0.7491493
114,22.081167,-24.444746,0.7487841
115,29.051077,-20.544731,0.7483791
116,36.020786,-16.644714,0.74793094
117,42.990395,-12.74473,0.74743736
118,49.959614,-8.844602,0.7468739
119,56.92832,-4.944407,0.74626887
120,63.896927,-1.0442808,0.74562234
121,70.86536,2.8559127,0.74491805
122,77.83335,6.7561007,0.7441628
123,84.80116,10.656307,0.7433657
124,91.768745,14.556554,0.74250805
125,98.73616,18.456827,0.7416133
126,105.70311,22.357054,0.7406572
127,112.67072,26.257572,0.73966676
128,119.63871,30.158258,0.7386245
129,126.60699,34.05918,0.73753107
130,133.57626,37.96053,0.7364148
131,140.54715,41.862537,0.73523545
132,147.51904,45.76509,0.7340215
133,154.49304,49.668564,0.73277456
134,161.4696,53.57315,0.73148084
135,168.44867,57.478928,0.7301566
136,175.43134,61.38626,0.72878647
137,182.41809,65.29546,0.72740525
138,189.41003,69.20698,0.7259807
139,196.40794,73.12116,0.7245432
140,8.030944,-40.225784,0.7499658
141,15.001595,-36.325615,0.7495887
142,21.97199,-32.425453,0.74918354
143,28.942183,-28.525293,0.74872226
144,35.912193,-24.625154,0.748217
145,42.88197,-20.724913,0.7476608
146,49.851254,-16.824553,0.74705535
147,56.820263,-12.9242,0.74640423
148,63.789116,-9.023895,0.74570817
149,70.757774,-5.123509,0.7449594
150,77.726,-1.2231665,0.7441598
151,84.69399,2.6772497,0.7433119
152,91.66184,6.5776443,0.74241054
153,98.629425,10.478078,0.7414704
154,105.596596,14.378548,0.7404635
155,112.56421,18.279108,0.73942477
156,119.532234,22.179823,0.7383341
157,126.50066,26.08079,0.73719025
158,133.46954,29.981977,0.7360169
159,140.4403,33.883793,0.7347852
160,147.41193,37.78606,0.73351765
161,154.38533,41.68904,0.7322135
162,161.36131,45.59304,0.7308628
163,168.33955,49.497997,0.729472
164,175.32129,53.404392,0.728048
165,182.30655,57.312294,0.72659296
166,189.29703,61.22234,0.72510195
167,196.29283,65.13462,0.7235869
168,7.921272,-48.207226,0.75046206
169,14.892203,-44.30702,0.7500764
170,21.862883,-40.406685,0.7496424
171,28.833317,-36.50632,0.7491391
172,35.803497,-32.605904,0.7485749
173,42.77334,-28.70538,0.74797434
174,49.742863,-24.80487,0.74733084
175,56.712196,-20.904337,0.74663055
176,63.681263,-17.00384,0.74589515
177,70.65017,-13.1033325,0.7451021
178,77.61858,-9.202731,0.74425125
179,84.58684,-5.3021717,0.74335444
180,91.5549,-1.4015774,0.7424085
181,98.52269,2.4990385,0.74141806
182,105.4901,6.3996444,0.74037206
183,112.45777,10.300341,0.7392804
184,119.4259,14.20113,0.7381378
185,126.39444,18.102116,0.7369483
186,133.36317,22.00327,0.73571175
187,140.33376,25.90493,0.7344422
188,147.30525,29.806982,0.7331135
189,154.27823,33.709606,0.7317549
190,161.25362,37.613068,0.730348
191,168.23131,41.51742,0.72890055
192,175.21213,45.42296,0.7274187
193,182.19629,49.329807,0.7258919
194,189.18535,53.238514,0.7243433
195,196.17944,57.14922,0.72275466
196,7.811561,-56.188732,0.7511391
