dotId,x,y,r
70,106.26787,37.890602,0.7519167
71,113.268394,41.806152,0.7519167
72,120.26892,45.721703,0.7519167
73,127.26943,49.637257,0.7519167
74,134.26996,53.552807,0.7519167
75,141.27048,57.468357,0.7519167
76,148.271,61.383907,0.7519167
77,155.27151,65.29946,0.7519167
78,162.27205,69.21501,0.7519167
79,169.27255,73.13056,0.7519167
80,176.2731,77.04611,0.7519167
81,183.2736,80.96166,0.7519167
82,190.27412,84.87721,0.7519167
83,197.27466,88.79276,0.7519167
84,8.151345,-24.94816,0.7519167
85,15.151863,-21.03261,0.7519167
86,22.15239,-17.11706,0.7519167
87,29.152906,-13.201508,0.7519167
88,36.153435,-9.285957,0.7519167
89,43.153957,-5.3704057,0.7519167
90,50.15447,-1.4548547,0.7519167
91,57.154995,2.4606962,0.7519167
92,64.15552,6.3762474,0.7519167
93,71.15603,10.291799,0.7519167
94,78.156555,14.20735,0.7519167
95,85.15708,18.1229,0.7519167
96,92.15759,22.038452,0.7519167
97,99.158134,25.954002,0.7519167
98,106.158646,29.869555,0.7519167
99,113.15917,33.785107,0.7519167
100,120.1597,37.700657,0.7519167
101,127.16021,41.616207,0.7519167
102,134.16074,45.531757,0.7519167
103,141.16125,49.447308,0.7519167
104,148.16177,53.36286,0.7519167
105,155.1623,57.27841,0.7519167
106,162.16283,61.193962,0.7519167
107,169.16333,65.10951,0.7519167
108,176.16388,69.02506,0.7519167
109,183.16438,72.94061,0.7519167
110,190.16489,76.85616,0.7519167
111,197.16544,80.77172,0.7519167
112,8.04212,-32.96921,0.7519167
113,15.042639,-29.05366,0.7519167
114,22.043165,-25.138107,0.7519167
115,29.043682,-21.222557,0.7519167
116,36.04421,-17.307005,0.7519167
117,43.044735,-13.391455,0.7519167
118,50.045246,-9.4759035,0.7519167
119,57.04577,-5.5603523,0.7519167
120,64.046295,-1.6448014,0.7519167
121,71.04681,2.2707498,0.7519167
122,78.04733,6.1863008,0.7519167
123,85.04786,10.101851,0.7519167
124,92.04837,14.017403,0.7519167
125,99.04891,17.932955,0.7519167
126,106.04942,21.848505,0.7519167
127,113.04994,25.764055,0.7519167
128,120.05047,29.679607,0.7519167
129,127.05098,33.595158,0.7519167
130,134.05151,37.510708,0.7519167
131,141.05203,41.42626,0.7519167
132,148.05255,45.341812,0.7519167
133,155.05307,49.257362,0.7519167
134,162.05359,53.172913,0.7519167
135,169.05411,57.088463,0.7519167
136,176.05464,61.004017,0.7519167
137,183.05516,64.91956,0.7519167
138,190.05566,68.83512,0.7519167
139,197.05621,72.75067,0.7519167
140,7.9328957,-40.990257,0.7519167
141,14.9334135,-37.074707,0.7519167
142,21.933939,-33.159157,0.7519167
143,28.934458,-29.243605,0.7519167
144,35.934982,-25.328054,0.7519167
145,42.93551,-21.412504,0.7519167
146,49.93602,-17.496952,0.7519167
147,56.936546,-13.581401,0.7519167
148,63.937073,-9.66585,0.7519167
149,70.937584,-5.750299,0.7519167
150,77.93811,-1.8347479,0.7519167
151,84.93864,2.0808032,0.7519167
152,91.93914,5.9963546,0.7519167
153,98.93968,9.911905,0.7519167
154,105.94019,13.827456,0.7519167
155,112.94072,17.743008,0.7519167
156,119.941246,21.658558,0.7519167
157,126.94176,25.57411,0.7519167
158,133.94228,29.48966,0.7519167
159,140.94281,33.405212,0.7519167
160,147.94331,37.320763,0.7519167
161,154.94385,41.236313,0.7519167
162,161.94437,45.151863,0.7519167
163,168.94489,49.067417,0.7519167
164,175.94542,52.982967,0.7519167
165,182.94594,56.898518,0.7519167
166,189.94644,60.814068,0.7519167
167,196.94699,64.72962,0.7519167
168,7.823671,-49.011307,0.7519167
169,14.824189,-45.095757,0.7519167
170,21.824715,-41.180206,0.7519167
171,28.825233,-37.264652,0.7519167
172,35.82576,-33.349102,0.7519167
173,42.826283,-29.433552,0.7519167
174,49.826794,-25.518002,0.7519167
175,56.82732,-21.60245,0.7519167
176,63.827847,-17.6869,0.7519167
177,70.828354,-13.771348,0.7519167
178,77.82888,-9.855797,0.7519167
179,84.82941,-5.9402456,0.7519167
180,91.82992,-2.0246944,0.7519167
181,98.83046,1.8908564,0.7519167
182,105.83097,5.8064075,0.7519167
183,112.8315,9.721959,0.7519167
184,119.83202,13.637509,0.7519167
185,126.832535,17.55306,0.7519167
186,133.83305,21.468613,0.7519167
187,140.83359,25.384163,0.7519167
188,147.83409,29.299713,0.7519167
189,154.83463,33.215263,0.7519167
190,161.83514,37.130817,0.7519167
191,168.83566,41.046368,0.7519167
192,175.8362,44.961918,0.7519167
193,182.8367,48.87747,0.7519167
194,189.83722,52.793022,0.7519167
195,196.83775,56.708572,0.7519167
196,7.714446,-57.032356,0.7519167
197,14.714964,-53.116806,0.7519167
198,21.71549,-49.201252,0.7519167
199,28.716007,-45.2857,0.7519167
200,35.716534,-41.37015,0.7519167
201,42.71706,-37.4546,0.7519167
202,49.71757,-33.53905,0.7519167
203,56.718094,-29.623499,0.7519167
204,63.71862,-25.707947,0.7519167
205,70.71913,-21.792397,0.7519167
206,77.71966,-17.876844,0.7519167
207,84.720184,-13.961294,0.7519167
208,91.720695,-10.045743,0.7519167
209,98.72124,-6.1301923,0.7519167
210,105.72175,-2.214641,0.7519167
211,112.722275,1.70091,0.7519167
212,119.72279,5.616461,0.7519167
